ID	Length	Number	Class	Domain
rnd-1_family-85	629	15934	LINE/L1	0
rnd-6_family-275	1243	15832	SINE/tRNA	0
rnd-5_family-2297	1299	15438	SINE/tRNA	0
rnd-6_family-1141	1816	15032	LINE/L1	0
rnd-4_family-28	8317	14918	LINE/L1	4
rnd-6_family-231	1878	13983	SINE/tRNA	0
rnd-6_family-1644	4986	13853	LINE/L1	0
rnd-1_family-16	357	13447	SINE/tRNA	0
rnd-5_family-341	4519	13121	LINE/L1	2
rnd-4_family-29	2433	13083	LINE/L1	0
rnd-6_family-1635	2369	12896	LINE/L1	0
rnd-1_family-76	128	12834	SINE/tRNA	0
rnd-1_family-56	513	12493	LINE/L1	0
rnd-5_family-376	7785	12275	LINE/L1	4
rnd-6_family-896	3187	12227	LTR/ERVK	0
rnd-3_family-138	8092	12124	LINE/L1	4
rnd-5_family-803	1423	11566	SINE/tRNA	0
rnd-5_family-190	1539	11512	SINE/tRNA	0
rnd-1_family-27	293	11323	SINE/tRNA	0
rnd-6_family-2403	1143	11288	SINE/tRNA	0
rnd-1_family-124	167	10904	LINE/L1	0
rnd-5_family-1320	1102	10903	LINE/L1	0
rnd-6_family-950	362	10691	SINE/tRNA	0
rnd-6_family-606	1169	10387	SINE/tRNA	0
rnd-5_family-271	1007	10354	LINE/L1	0
rnd-6_family-214	391	10207	SINE/tRNA	0
rnd-4_family-73	4287	10093	LINE/L1	0
rnd-1_family-4	592	9932	SINE/tRNA	0
rnd-1_family-66	191	9882	SINE/tRNA	0
DF0000001	262	9847	SINE/MIR	0
rnd-1_family-58	6645	9657	LTR/ERVK	3
rnd-5_family-83	293	9577	SINE/ID	0
rnd-5_family-1915	1009	9492	SINE/tRNA	0
rnd-5_family-1400	1062	9443	SINE/tRNA	0
DF0000975	268	9422	SINE/MIR	0
rnd-6_family-556	1324	9420	SINE/tRNA	0
rnd-1_family-106	194	9040	SINE/tRNA	0
rnd-5_family-431	904	9003	SINE/tRNA	0
rnd-1_family-119	1045	8926	LINE/L1	0
rnd-5_family-1508	2166	8855	SINE/tRNA	0
rnd-6_family-856	4856	8701	LINE/L1	1
rnd-1_family-12	5172	8526	LTR/ERVK	8
rnd-1_family-69	550	8475	LINE/L1	0
rnd-3_family-70	799	8447	SINE/tRNA	0
rnd-1_family-86	173	8446	LINE/L1	0
rnd-5_family-304	837	8240	LINE/L1	0
rnd-1_family-38	295	8061	SINE/tRNA	0
rnd-5_family-733	899	7862	SINE/tRNA	0
rnd-6_family-869	6338	7796	LINE/L1	3
rnd-4_family-59	251	7670	Unknown	0
rnd-6_family-989	1375	7659	SINE/tRNA	0
rnd-6_family-5054	1971	7487	SINE/tRNA	0
rnd-5_family-181	882	7404	SINE/tRNA	0
rnd-1_family-178	224	7389	Unknown	0
rnd-5_family-767	2798	7359	LTR/ERVK	0
rnd-5_family-71	849	7292	SINE/tRNA	0
rnd-5_family-44	645	7227	SINE/tRNA	0
rnd-6_family-469	727	7210	SINE/tRNA	0
rnd-1_family-116	327	7154	LINE/L1	0
rnd-1_family-230	129	7034	SINE/tRNA	0
rnd-1_family-7	429	6733	SINE/tRNA	0
rnd-6_family-397	929	6698	SINE/tRNA	0
rnd-6_family-149	270	6576	SINE/tRNA	0
rnd-4_family-432	399	6516	SINE/tRNA	0
rnd-5_family-439	287	6179	SINE/ID	0
rnd-5_family-72	204	6129	SINE/tRNA	0
rnd-5_family-62	1482	6062	SINE/tRNA	0
rnd-6_family-476	782	5921	LINE/L1	0
rnd-1_family-232	438	5731	LTR/ERVK	0
rnd-5_family-958	2027	5660	SINE/tRNA	0
rnd-1_family-5	438	5581	SINE/tRNA	0
rnd-1_family-71	484	5411	LINE/L1	0
rnd-1_family-227	148	5204	SINE/tRNA	0
rnd-6_family-260	350	5158	SINE/ID	0
rnd-1_family-32	1817	5128	LTR/ERVK	0
rnd-4_family-309	3164	5108	LTR/ERVK	1
rnd-1_family-180	222	5084	LTR/ERVL	0
rnd-1_family-78	167	4973	LINE/L1	0
rnd-5_family-436	1672	4914	LINE/L1	0
rnd-1_family-30	729	4687	SINE/tRNA	0
DR0187786	5825	4659	LINE/L1	4
DF0000273	931	4513	LINE/L1	0
rnd-1_family-110	423	4491	LINE/L1	0
rnd-1_family-2	5897	4410	SINE/tRNA	0
rnd-5_family-607	1033	4401	SINE/tRNA	0
rnd-1_family-187	79	4384	Unknown	0
DF0000008	3294	4301	LINE/L1	2
rnd-6_family-580	396	4133	SINE/tRNA	0
rnd-1_family-77	805	4112	LINE/L1	0
rnd-6_family-2418	2696	4050	LTR/ERVK	0
rnd-5_family-16	2334	4040	LTR/ERVK	0
rnd-1_family-108	110	4012	SINE/tRNA	0
rnd-1_family-105	697	3964	LINE/L1	0
rnd-5_family-2448	307	3893	SINE/ID	0
rnd-6_family-146	1006	3876	LINE/L1	0
rnd-6_family-2052	389	3797	SINE/tRNA	0
rnd-1_family-109	116	3780	LINE/L1	0
rnd-1_family-21	361	3757	SINE/tRNA	0
rnd-5_family-276	484	3730	Unknown	0
DF0000358	3082	3642	LINE/L2	2
rnd-5_family-1178	4015	3583	SINE/tRNA	0
DR0187836	2129	3456	LINE/L1	0
DF0000010	2789	3448	LINE/L1	0
rnd-2_family-205	2600	3431	LTR/ERVK	0
rnd-1_family-159	438	3398	LTR/ERVK	0
rnd-1_family-83	286	3383	LINE/L1	0
DF0001221	461	3378	LTR/ERVL-MaLR	0
rnd-1_family-308	1043	3367	LINE/I-Jockey	0
rnd-5_family-178	1076	3324	LINE/L1	0
rnd-1_family-273	90	3225	Unknown	0
DF0001004	505	3219	LTR/ERVL-MaLR	0
DR0188044	5747	3115	LINE/L1	4
rnd-5_family-80	964	3053	LINE/L1	0
rnd-1_family-186	2002	3049	LTR/ERVK	0
DF0000876	189	3037	DNA/hAT-Charlie	0
rnd-1_family-283	732	2969	LTR/ERVK	0
rnd-1_family-192	4451	2969	LTR/ERVK	7
rnd-1_family-195	390	2961	RC/Helitron	0
rnd-6_family-651	512	2914	SINE/tRNA	0
rnd-1_family-31	183	2903	SINE/tRNA	0
rnd-1_family-129	2438	2836	LTR/ERVK	0
rnd-6_family-2330	263	2833	SINE/ID	0
DF0000974	208	2771	SINE/MIR	0
DR0188051	5567	2769	LINE/L1	6
rnd-6_family-2003	231	2737	SINE/ID	0
rnd-4_family-1780	453	2701	Unknown	0
DF0000294	911	2693	LINE/L1	0
DR0188061	4903	2679	LINE/L1	4
DR0187781	5357	2647	LINE/L1	6
rnd-5_family-1702	2099	2637	SINE/tRNA	0
rnd-4_family-37	3804	2612	LINE/L1	0
rnd-5_family-841	245	2584	LINE/L1	0
DR0187862	6365	2536	LINE/L1	6
rnd-6_family-15	5989	2517	LINE/L1	5
rnd-1_family-157	387	2500	LTR/ERVK	0
rnd-1_family-102	1251	2473	LINE/L1	0
DF0001001	365	2454	LTR/ERVL-MaLR	0
rnd-1_family-168	369	2427	LTR/ERVK	0
DF0000737	219	2421	DNA/hAT-Charlie	0
DF0000266	1059	2400	LINE/L1	0
rnd-5_family-1848	511	2399	Unknown	0
DF0001127	390	2383	LTR/ERVL-MaLR	0
DR0187738	2685	2366	LINE/L1	1
rnd-5_family-23	6450	2342	LTR/ERVK	9
rnd-1_family-127	100	2334	SINE/tRNA	0
rnd-5_family-185	378	2330	LINE/L1	0
rnd-1_family-185	392	2288	LTR/ERVK	0
DF0000297	920	2287	LINE/L1	0
rnd-1_family-170	1229	2277	LINE/L1	0
DF0000277	2532	2272	LINE/L1	0
rnd-5_family-1267	263	2248	LINE/L1	0
rnd-1_family-148	1929	2246	LINE/L1	3
DF0000303	871	2239	LINE/L1	0
rnd-5_family-1560	262	2208	Unknown	0
rnd-1_family-299	415	2184	Unknown	0
DR0187813	1577	2114	LINE/L2	1
rnd-1_family-3	1223	2107	SINE/tRNA	0
rnd-1_family-131	138	2102	SINE/tRNA	0
DF0001003	467	2077	LTR/ERVL-MaLR	0
rnd-5_family-545	558	2075	SINE/tRNA	0
rnd-4_family-1030	426	2075	Unknown	0
DF0000289	2742	2062	LINE/L1	0
rnd-6_family-516	220	2049	SINE/ID	0
DF0000272	921	2040	LINE/L1	0
rnd-1_family-194	491	2036	Satellite	0
rnd-1_family-161	1086	2034	LTR/ERVK	0
rnd-1_family-301	458	2033	Unknown	0
rnd-5_family-307	459	2026	LTR/ERV1	0
rnd-6_family-908	750	2011	LTR/ERVK	0
DF0000359	517	1959	LINE/L2	0
DR0188032	6308	1941	LINE/L1	5
DR0187775	3227	1916	LINE/L1	2
rnd-5_family-109	564	1915	LTR/ERV1	0
DF0001126	374	1913	LTR/ERVL-MaLR	0
rnd-4_family-435	832	1897	Unknown	0
rnd-5_family-345	409	1893	Unknown	0
rnd-1_family-150	311	1867	LTR/ERVK	0
DR0187913	832	1861	LTR/ERVL	0
DR0188085	3871	1838	LINE/L1	2
rnd-1_family-135	813	1824	Unknown	0
rnd-1_family-199	281	1784	LTR/ERVK	0
DR0188002	450	1743	SINE/MIR	0
rnd-4_family-1068	733	1734	Unknown	0
rnd-6_family-3007	9137	1720	LINE/L1	4
DR0187944	3894	1691	LINE/L1	1
rnd-1_family-154	68	1675	Unknown	0
DR0187876	5277	1650	LINE/L1	3
DF0000872	224	1647	DNA/hAT-Charlie	0
DR0187848	6778	1646	LINE/L1	3
rnd-5_family-571	165	1608	SINE/ID	0
rnd-1_family-126	807	1598	LINE/L1	0
rnd-6_family-1565	2530	1595	SINE/tRNA	0
DR0187824	1849	1584	LINE/L1	0
DF0000280	2694	1577	LINE/L1	0
DR0187970	2352	1568	LINE/L1	0
DR0187947	538	1565	LTR/ERV1	0
DR0187844	873	1565	LINE/L1	0
DF0000154	2507	1564	LINE/L1	2
DF0000304	892	1554	LINE/L1	0
DR0187839	6402	1547	LINE/L1	2
rnd-1_family-42	2870	1545	SINE/tRNA	0
rnd-6_family-1075	111	1541	SINE/ID	0
rnd-6_family-834	840	1535	LINE/L1	0
DR0187733	1008	1535	LINE/L2	0
DR0187974	235	1528	SINE/MIR	0
DF0000281	2777	1522	LINE/L1	0
DF0000362	4099	1497	LINE/CR1	3
DR0187797	231	1492	DNA/hAT-Charlie	0
DF0000279	2629	1492	LINE/L1	0
rnd-6_family-635	930	1485	LINE/L1	0
rnd-5_family-1358	476	1475	Unknown	0
rnd-5_family-1601	1211	1470	LINE/L1	0
rnd-5_family-396	1135	1465	LTR/ERVK	0
rnd-6_family-731	2195	1452	LINE/L1	0
DF0000361	478	1451	LINE/L2	0
DF0000255	1081	1444	LINE/L1	0
rnd-4_family-668	408	1426	Unknown	0
rnd-1_family-125	103	1407	SINE/tRNA	0
rnd-5_family-124	585	1401	LTR/ERV1	0
rnd-1_family-318	51	1382	SINE/5S	0
DR0188015	2002	1368	LINE/L1	0
rnd-4_family-371	966	1351	SINE/tRNA	0
DR0187965	178	1335	DNA/hAT-Charlie	0
DR0187766	1978	1330	LTR/ERVL	0
rnd-1_family-73	96	1326	SINE/tRNA	0
DR0187900	583	1301	LINE/L2	0
rnd-1_family-98	112	1282	SINE/B2	0
rnd-1_family-118	150	1270	LTR/ERVL	0
DF0000360	466	1247	LINE/L2	0
rnd-5_family-131	237	1242	LINE/L1	0
rnd-1_family-246	85	1236	SINE/tRNA	0
rnd-6_family-69	3030	1217	Unknown	0
DF0000877	166	1211	DNA/hAT-Charlie	0
DF0000120	5667	1175	LTR/ERVL	6
DF0000743	209	1172	DNA/hAT-Charlie	0
rnd-5_family-950	1974	1164	Unknown	0
DF0001022	595	1143	LTR/ERVL-MaLR	0
rnd-1_family-363	272	1140	LTR/ERVK	0
rnd-6_family-636	194	1135	LINE/L1	0
DR0188001	800	1131	LINE/L1	0
rnd-5_family-1573	718	1123	Unknown	0
DR0187919	3853	1122	LINE/L1	3
DF0000878	178	1118	DNA/hAT-Charlie	0
rnd-1_family-228	393	1107	LTR/ERVK	0
rnd-6_family-964	316	1097	LTR/ERV1	0
rnd-1_family-193	257	1095	SINE/tRNA	0
rnd-6_family-497	612	1070	LTR/ERV1	0
rnd-1_family-280	358	1065	LINE/L1	0
rnd-5_family-179	604	1062	LINE/L1	0
DF0000287	1106	1059	LINE/L1	0
DF0000748	324	1057	DNA/hAT-Charlie	0
rnd-1_family-223	445	1051	LTR/ERVK	0
rnd-6_family-1576	3280	1039	SINE/tRNA	0
DR0187966	2199	1039	LINE/L1	0
rnd-1_family-19	156	1037	SINE/tRNA	0
rnd-1_family-184	2546	1036	LTR/ERVK	3
DR0187905	241	1035	SINE/MIR	0
DR0188069	225	1033	SINE/MIR	0
DR0188093	564	1028	LTR/Ngaro	0
rnd-1_family-147	439	1025	LINE/L1	0
rnd-5_family-550	981	1020	Unknown	0
rnd-1_family-113	205	1013	LINE/L1	0
rnd-6_family-2498	1273	1006	LINE/L1	0
DF0001029	520	1006	LTR/ERVL	0
rnd-4_family-1020	668	999	Unknown	0
DR0188052	6190	983	LINE/L1	5
rnd-1_family-133	76	977	LINE/L1	0
rnd-6_family-1344	411	973	Unknown	0
DF0000276	1091	966	LINE/L1	0
rnd-2_family-63	1461	965	LINE/L1	0
DF0000275	1080	965	LINE/L1	0
DR0187748	3980	964	LINE/L1	3
DF0001007	627	957	LTR/ERVL-MaLR	0
DF0000302	924	957	LINE/L1	0
DF0001253	230	943	SINE/MIR	0
rnd-1_family-248	185	932	LINE/L1	0
DR0188065	883	923	LINE/RTE-BovB	2
rnd-1_family-229	371	919	LINE/L1	0
rnd-6_family-3734	241	914	Satellite	0
DR0187889	3412	913	LINE/L1	2
rnd-6_family-88	535	912	LTR/ERV1	0
rnd-1_family-162	367	901	LTR/ERVK	0
DF0000295	1191	894	LINE/L1	0
DR0187860	485	891	LTR/ERVL-MaLR	0
DR0188007	904	881	LTR/ERVL	0
DR0188054	5039	880	LINE/L1	3
rnd-6_family-332	805	879	Unknown	0
rnd-1_family-369	190	877	LTR/ERV1	0
DR0187938	1921	877	LINE/L1	0
DF0001018	512	877	LTR/ERVL-MaLR	0
DF0000635	997	868	LINE/L1	0
DF0000021	1455	868	DNA/hAT-Charlie	0
DF0001014	549	867	LTR/ERVL-MaLR	0
rnd-5_family-387	184	859	LINE/L1	0
DF0000286	989	857	LINE/L1	0
rnd-5_family-2279	1447	855	LTR/ERVK	0
rnd-5_family-1438	485	843	Unknown	0
DF0001010	560	838	LTR/ERVL-MaLR	0
DF0001036	414	837	LTR/ERVL	0
rnd-5_family-381	598	836	LTR/ERV1	0
rnd-5_family-629	499	834	Unknown	0
rnd-1_family-212	3957	834	LTR/ERVK	8
rnd-6_family-4988	1289	829	SINE/tRNA	0
rnd-1_family-68	1686	825	LINE/L1	0
DR0187823	326	825	SINE/MIR	0
rnd-5_family-1322	479	824	Unknown	0
DR0187871	212	822	DNA/TcMar-Tigger	0
DR0187788	4070	822	LINE/L1	3
DR0188022	3416	818	LINE/L1	2
DR0187921	996	818	LINE/L1	0
rnd-6_family-77	2596	815	Unknown	2
DR0187981	355	815	DNA/hAT-Charlie	0
DF0000245	2686	814	LINE/L1	3
rnd-5_family-556	588	797	Unknown	0
DR0187928	270	794	SINE/MIR	0
rnd-6_family-3414	875	793	SINE/tRNA	0
DR0187939	789	785	LINE/L1	0
DR0188009	5966	778	Unknown	5
DR0187849	5800	778	Unknown	4
DF0000777	2224	778	LINE/L1	2
DF0000305	830	776	LINE/L1	0
rnd-6_family-462	498	775	LTR/ERV1	0
rnd-1_family-123	221	775	LINE/L1	0
DF0001008	548	770	LTR/ERVL-MaLR	0
DF0000290	2650	768	LINE/L1	0
DF0000311	2101	764	LINE/L1	2
rnd-5_family-350	600	760	Unknown	0
DR0187934	948	760	LINE/L1	0
rnd-5_family-368	537	754	Unknown	0
DF0001009	569	750	LTR/ERVL-MaLR	0
rnd-1_family-366	138	746	Unknown	0
DF0000776	2527	744	LINE/L1	0
rnd-6_family-1730	631	742	Unknown	0
rnd-6_family-336	1042	740	SINE/ID	0
DR0187807	1795	737	LINE/L1	0
rnd-1_family-115	98	735	SINE/tRNA	0
DR0188078	206	735	DNA/hAT-Charlie	0
DF0000299	870	731	LINE/L1	0
DR0187987	226	724	SINE/MIR	0
rnd-1_family-361	109	715	LTR/ERVK	0
rnd-1_family-235	270	714	Unknown	0
DF0001023	610	713	LTR/ERVL-MaLR	0
DF0000421	489	709	LTR/ERVL	0
rnd-6_family-195	330	707	Unknown	0
DR0188075	315	706	SINE/MIR	0
rnd-1_family-165	97	705	SINE/tRNA	0
DR0187863	4313	704	LINE/L1	2
DR0187825	447	703	DNA/TcMar-Tigger	0
DR0187780	415	699	LINE/L2	0
DR0187893	2960	698	LINE/L1	1
rnd-6_family-198	848	697	Unknown	0
rnd-6_family-1711	3610	697	SINE/tRNA	0
DR0188000	15448	693	Satellite	6
DF0001020	448	679	LTR/ERVL-MaLR	0
DF0001128	680	677	LTR/ERVL-MaLR	0
rnd-6_family-2796	173	674	Unknown	0
rnd-6_family-2301	1836	672	SINE/tRNA	0
rnd-6_family-1649	177	669	DNA/TcMar-Mariner	0
rnd-4_family-446	1507	668	LTR/ERVK	1
DR0187875	494	664	LTR/ERV1	0
rnd-5_family-1654	686	660	LINE/L1	0
rnd-1_family-141	1222	652	LTR/ERVK	0
rnd-6_family-5291	2548	650	SINE/tRNA	0
rnd-6_family-1952	491	643	DNA/TcMar-Tigger	0
rnd-1_family-136	87	643	SINE/tRNA	0
DR0187902	218	642	DNA/hAT-Charlie	0
DF0000859	193	642	DNA/hAT-Blackjack	0
DR0187841	5201	632	LINE/L1	3
DF0000873	341	628	DNA/hAT-Charlie	0
DF0000489	515	626	LTR/ERVL	0
DF0000740	938	623	LTR/ERVL	0
DR0187772	485	619	Unknown	0
DR0188056	205	618	DNA/hAT	0
rnd-6_family-3979	3193	617	SINE/tRNA	1
rnd-4_family-405	620	617	LTR/ERVK	0
DR0187741	470	617	LINE/L2	0
rnd-6_family-2097	955	616	LINE/L1	0
rnd-6_family-1795	518	613	Unknown	0
DR0188031	3056	613	LINE/L1	1
rnd-6_family-4096	809	612	DNA/TcMar-Tigger	1
DF0000308	2217	612	LINE/L1	3
rnd-6_family-1974	1929	605	Unknown	2
rnd-4_family-1451	65	604	Unknown	0
DR0188028	192	604	DNA/TcMar-Tigger	0
rnd-6_family-1945	630	603	LTR/ERV1	0
rnd-1_family-172	798	603	LINE/L1	1
rnd-6_family-1331	594	601	Unknown	0
rnd-6_family-1575	3742	595	SINE/tRNA	0
rnd-5_family-67	174	593	SINE/MIR	0
rnd-6_family-100	1317	592	LINE/L1	0
rnd-1_family-201	357	590	LTR/ERVK	0
DR0188087	658	588	LINE/L1	0
rnd-6_family-2076	193	587	Unknown	0
DR0188089	238	583	DNA/hAT-Charlie	0
DF0000248	3237	583	LINE/L1	3
rnd-6_family-2299	9287	581	SINE/tRNA	0
rnd-6_family-1523	1713	578	LTR/ERV1	1
DR0187992	518	578	LINE/L2	0
rnd-1_family-144	89	577	LTR/ERVL	0
DF0000699	297	576	DNA/hAT-Charlie	0
rnd-6_family-5544	1765	575	Unknown	0
rnd-1_family-104	107	574	SINE/B2	0
rnd-5_family-1324	489	572	Unknown	0
rnd-1_family-345	133	569	Unknown	0
rnd-6_family-74	2075	565	RC/Helitron	0
DR0187990	1364	564	LINE/L1	0
DR0187795	1064	563	LINE/L2	0
DR0187920	19364	559	Unknown	2
DR0187954	377	558	LTR/ERVL-MaLR	0
DR0187827	6380	553	LINE/L1	5
rnd-1_family-297	1841	552	LTR/ERVK	1
rnd-5_family-3390	53	546	Unknown	0
rnd-1_family-291	84	545	Unknown	0
DF0001131	489	545	LTR/ERVL-MaLR	0
DF0001017	411	543	LTR/ERVL-MaLR	0
rnd-6_family-1301	484	542	Unknown	0
DF0000282	2434	541	LINE/L1	0
rnd-5_family-1618	463	540	Unknown	0
DR0187949	192	540	Unknown	0
DR0188058	330	528	DNA/TcMar-Tigger	0
DR0187804	5845	528	LINE/L1	3
DF0000027	2624	528	DNA/hAT-Charlie	2
DF0001032	556	525	LTR/ERVL	0
DR0188010	3885	524	LTR/ERVL	2
rnd-6_family-1706	4912	522	Unknown	0
DF0001129	624	514	LTR/ERVL-MaLR	0
rnd-6_family-196	119	511	Unknown	0
rnd-6_family-1421	494	509	LTR/ERV1	0
rnd-5_family-1202	421	505	Unknown	0
rnd-6_family-5522	359	503	Unknown	0
rnd-1_family-260	230	502	LTR/ERVK	0
rnd-1_family-204	123	502	SINE/tRNA	0
DF0000162	4996	501	LTR/ERVL	1
DR0187917	220	499	LINE/L2	0
rnd-1_family-160	1828	498	LTR/ERVK	1
rnd-1_family-112	673	493	LINE/L1	0
DF0001013	595	493	LTR/ERVL-MaLR	0
DF0000116	5226	493	LTR/ERVL	3
rnd-6_family-119	556	492	Unknown	0
rnd-1_family-183	159	492	LINE/L1	0
DR0187936	1478	492	LINE/L1	0
DR0187847	6294	492	Unknown	5
rnd-1_family-100	54	491	SINE/tRNA	0
rnd-1_family-70	91	489	SINE/tRNA	0
rnd-6_family-3736	356	484	LTR/ERV1	0
rnd-1_family-205	280	484	LTR/ERVK	0
rnd-6_family-1116	2894	483	Unknown	0
rnd-6_family-7451	396	479	Unknown	0
DF0000283	1197	479	LINE/L1	0
rnd-5_family-114	194	478	SINE/MIR	0
DR0187951	4224	477	LINE/L1	1
DR0187971	277	476	SINE/MIR	0
rnd-1_family-356	610	474	LTR/ERVK	0
rnd-5_family-259	63	473	Unknown	0
DF0000157	2465	470	LINE/L1	2
rnd-6_family-1342	640	467	Unknown	0
rnd-1_family-323	261	461	Unknown	0
DF0001130	591	461	LTR/ERVL-MaLR	0
DF0000156	2991	461	LINE/L1	2
rnd-6_family-512	635	460	Unknown	0
rnd-1_family-373	3493	460	LTR/ERV1	5
DR0188017	3644	460	LINE/L1	2
rnd-1_family-93	130	458	LINE/L1	0
rnd-1_family-25	120	458	SINE/tRNA	0
rnd-1_family-121	142	458	LINE/L1	0
rnd-5_family-847	271	457	Unknown	0
rnd-1_family-271	119	457	SINE/tRNA	0
rnd-6_family-456	582	456	LTR/ERV1	0
rnd-6_family-215	451	456	LTR/ERV1	0
DF0000896	1061	456	DNA/hAT-Tip100	0
rnd-6_family-2305	2494	452	SINE/tRNA	2
DF0001034	397	449	LTR/ERVL	0
rnd-6_family-340	229	446	Unknown	0
rnd-1_family-18	176	445	SINE/tRNA	0
DF0001144	555	445	LINE/L2	0
rnd-6_family-120	839	444	Unknown	0
rnd-5_family-184	1033	442	LTR/ERVK	0
rnd-6_family-1319	37	439	Unknown	0
rnd-5_family-1698	1951	439	LINE/L1	0
rnd-1_family-302	199	439	LINE/L1	0
DR0187955	2670	439	LINE/L1	0
DF0001015	555	439	LTR/ERVL-MaLR	0
rnd-1_family-349	386	437	LTR/ERVK	0
DF0000364	4990	437	LINE/RTE-X	1
rnd-1_family-284	1010	434	LTR/ERVK	0
DR0187755	2755	434	LINE/L1	1
rnd-6_family-3015	315	432	LTR/ERV1	0
rnd-1_family-95	435	432	LTR/ERVK	0
DR0188045	2821	431	LINE/L1	3
rnd-6_family-144	516	429	Unknown	0
DF0000020	2782	429	DNA/hAT-Charlie	0
rnd-1_family-307	1611	425	LINE/I-Jockey	1
DF0000366	5138	425	LINE/RTE-X	2
DR0187941	6555	424	Unknown	4
rnd-6_family-1419	361	423	Unknown	0
rnd-5_family-3116	927	421	Unknown	0
rnd-1_family-26	205	418	SINE/tRNA	0
DF0000785	178	418	DNA/hAT-Tip100	0
rnd-4_family-447	133	415	DNA/hAT-Charlie	0
DF0000738	783	415	DNA/hAT-Charlie	0
rnd-6_family-377	555	414	Unknown	0
rnd-6_family-112	903	412	Unknown	0
DR0187894	196	412	DNA/hAT-Charlie	0
DF0000710	521	410	DNA/hAT-Charlie	0
DR0188101	576	407	LTR/ERVL-MaLR	0
rnd-5_family-165	232	406	DNA/hAT-Charlie	0
rnd-5_family-2494	2404	402	LTR/ERV1	4
DF0001006	654	402	LTR/ERVL-MaLR	0
DR0187984	390	401	LINE/L2	0
rnd-1_family-332	466	400	LTR/ERVL	0
rnd-6_family-2405	550	398	LTR/ERV1	0
