ID	Length	Number	Class
DR0187957	161	330	LINE/L2
DR0187943	1790	317	LINE/L1
rnd-6_family-1696	457	308	LINE
DR0187821	1369	302	LINE/L1
DF0000246	2579	302	LINE/L1
DF0000313	2212	299	LINE/L1
DR0187842	3832	298	LINE/L1
rnd-6_family-3252	517	295	LINE
rnd-6_family-73	714	294	LINE
DR0188076	327	293	LINE/L2
DR0188016	4673	286	LINE/L1
rnd-1_family-117	209	281	LINE/L1
DF0000247	2656	274	LINE/L1
DF0000251	2515	270	LINE/L1
rnd-6_family-36	270	267	LINE/L1
rnd-6_family-2947	423	266	LINE
DR0187891	1442	264	LINE/L1
rnd-6_family-730	1834	263	LINE/L1
DR0188062	1573	262	LINE/L1
DR0187779	12040	253	LINE/L1
DR0188070	150	251	LINE/L2
rnd-6_family-4519	356	250	LINE
rnd-1_family-240	271	244	LINE/L1
DF0000284	1536	240	LINE/L1
DR0187989	523	238	LINE/L2
rnd-6_family-10395	534	237	LINE
rnd-1_family-134	229	237	LINE/L1
DF0001149	3812	235	LINE/RTE-BovB
DR0187956	6171	230	LINE
rnd-1_family-242	144	225	LINE/L1
DR0188100	5663	221	LINE/L1
rnd-6_family-2067	540	219	LINE
DR0188077	533	214	LINE/L2
DF0000363	1206	208	LINE/CR1
DR0187883	289	207	LINE/L2
DR0187792	3973	207	LINE/L1
DR0188094	461	206	LINE/L2
rnd-6_family-357	192	203	LINE/L2
DF0000288	1069	201	LINE/L1
DF0000291	1422	194	LINE/L1
DR0187815	4559	190	LINE/L1
DR0187858	313	186	LINE/L1
rnd-1_family-97	929	183	LINE/L1
rnd-1_family-335	201	182	LINE/L1
rnd-4_family-576	321	177	LINE/L1
DR0187923	2027	174	LINE/L1
rnd-1_family-182	776	172	LINE/L1
DF0000278	2555	172	LINE/L1
rnd-5_family-1728	1238	171	LINE/RTE-BovB
rnd-1_family-303	67	171	LINE/L1
DF0000110	2204	169	LINE/CR1
DR0188046	839	163	LINE/L1
DR0187767	893	160	LINE/L2
rnd-6_family-1594	2078	159	LINE/L1
DF0000249	2500	159	LINE/L1
DR0188042	1330	158	LINE/L1
rnd-6_family-376	321	156	LINE/L1
rnd-6_family-2843	519	155	LINE
DR0187787	1092	151	LINE
DF0000312	2235	149	LINE/L1
DR0188083	2610	147	LINE
DR0187840	5513	145	LINE/L1
DR0188040	327	144	LINE/L1
rnd-6_family-2889	286	140	LINE
DR0188020	2326	139	LINE/L1
DR0187935	1088	137	LINE/L1
DF0000253	2237	137	LINE/L1
DF0000271	1795	136	LINE/L1
DR0187859	293	135	LINE/L1
DR0187886	6894	133	LINE/L1
rnd-1_family-272	279	132	LINE
DF0000314	2160	131	LINE/L1
DF0000254	2355	131	LINE/L1
rnd-6_family-5310	523	125	LINE
rnd-1_family-65	464	118	LINE/L1
rnd-6_family-1731	458	115	LINE
rnd-6_family-2141	468	112	LINE
DR0188049	161	112	LINE/L2
rnd-1_family-120	236	111	LINE/L1
DF0000984	3809	110	LINE/Dong-R4
DR0187930	6061	108	LINE/L1
rnd-1_family-295	102	106	LINE/L1
rnd-1_family-156	89	104	LINE/L1
DF0000307	1089	104	LINE/L1
rnd-6_family-321	1462	103	LINE/I-Jockey
DR0188037	311	100	LINE/L2
DR0187782	5662	100	LINE/L1
DF0000239	1625	100	LINE/L1
rnd-1_family-128	72	99	LINE/L1
DF0001252	296	99	LINE/CR1
rnd-1_family-130	67	98	LINE/L1
DR0188092	4524	98	LINE/L1
DR0187819	4976	97	LINE/L1
rnd-6_family-649	138	95	LINE/L2
DR0187822	178	94	LINE/L2
rnd-1_family-167	1314	89	LINE/L1
DF0000240	1375	88	LINE/L1
DR0187945	5812	87	LINE/L1
rnd-1_family-206	154	86	LINE/L1
DF0001265	851	84	LINE/CR1
DR0187753	667	82	LINE/L2
rnd-6_family-5102	330	80	LINE
DF0004193	1319	74	LINE/CR1
DR0187745	6017	73	LINE/L1
rnd-1_family-362	288	68	LINE/L1
DR0187778	6346	66	LINE/L1
DF0000309	783	66	LINE/L1
DR0188019	827	65	LINE/L2
DF0000350	903	64	LINE/L1
rnd-5_family-105	313	63	LINE/L1
rnd-1_family-173	970	63	LINE/L1
rnd-1_family-137	82	61	LINE/L1
DF0001218	253	60	LINE/CR1
DF0000310	1000	60	LINE/L1
DR0187730	4418	59	LINE/L1
rnd-1_family-254	74	57	LINE/L1
DF0001141	1408	57	LINE/CR1
DR0187950	143	56	LINE/L1
rnd-1_family-269	52	55	LINE/L1
DR0187969	6628	53	LINE/L1
DR0187754	2303	53	LINE/L1
DF0000237	1175	53	LINE/L1
DR0187942	164	52	LINE/L2
DR0187986	1683	48	LINE/L1
DR0187800	354	48	LINE/L1
DF0001113	645	46	LINE/CR1
DF0001121	296	45	LINE/CR1
rnd-1_family-132	93	42	LINE/L1
DF0001119	267	42	LINE/CR1
DR0187728	2877	40	LINE
DR0187801	5901	39	LINE/L1
DF0000242	2113	39	LINE/L1
DR0187854	1758	36	LINE/L1
DF0001732	2613	36	LINE/L2
rnd-1_family-138	75	34	LINE/L1
DR0187937	5940	33	LINE/L1
DR0187890	1952	33	LINE/L1
DF0001161	314	33	LINE/L2
DF0001120	250	33	LINE/CR1
DR0187837	18477	32	LINE/L1
DF0001118	1072	32	LINE/CR1
DR0188066	3940	31	LINE
DR0187744	4987	30	LINE/L1
DF0001227	392	30	LINE
rnd-6_family-6361	372	29	LINE
DF0000238	1765	29	LINE/L1
DF0001272	256	28	LINE
DR0187932	251	26	LINE/RTE-X
DF0001250	372	26	LINE/L2
rnd-5_family-1277	551	25	LINE/L1
rnd-1_family-190	254	25	LINE/L1
DF0001184	1289	24	LINE/L1-Tx1
DF0001142	236	23	LINE/CR1
rnd-6_family-662	1129	22	LINE/L1
DF0001333	682	22	LINE/L2
DF0001122	936	22	LINE/L1
DF0001094	378	22	LINE
DF0000241	2137	22	LINE/L1
DF0001300	614	21	LINE/CR1
rnd-6_family-658	552	20	LINE/L1
rnd-6_family-428	563	20	LINE/L1
rnd-1_family-142	73	20	LINE/L1
DR0187922	157	20	LINE/L1
DF0001336	813	20	LINE/CR1
DF0001216	284	20	LINE/CR1
rnd-6_family-2851	285	19	LINE/L1
rnd-5_family-497	503	19	LINE/L1
rnd-6_family-261	453	18	LINE/L1
rnd-5_family-229	414	18	LINE/L1
DR0187820	3685	18	LINE/L1
rnd-6_family-218	644	17	LINE/L1
rnd-6_family-46	200	15	LINE/L1
DF0000229	2904	15	LINE/L1
DF0001326	4288	13	LINE/CR1
DF0001086	512	13	LINE
DF0002200	312	11	LINE
DF0001280	361	11	LINE/L2
rnd-1_family-222	59	10	LINE/L1
DR0188071	2053	10	LINE
DR0187803	2114	10	LINE
DR0188097	88	9	LINE/L1
DF0001325	3605	9	LINE/CR1
DF0001301	271	9	LINE
DF0001291	724	9	LINE/CR1
rnd-1_family-365	231	7	LINE/L1
rnd-1_family-139	80	7	LINE/L1
DF0001087	371	7	LINE
rnd-6_family-2008	395	6	LINE/L1
rnd-1_family-236	173	6	LINE/L1
rnd-1_family-188	193	6	LINE/L1
DR0187887	1597	6	LINE
rnd-1_family-333	79	5	LINE/L1
DF0001177	1552	4	LINE/RTE-BovB
DF0001116	185	4	LINE/CR1
rnd-1_family-370	139	3	LINE/L1
rnd-1_family-367	110	3	LINE/L1
rnd-5_family-525	221	2	LINE/L1
rnd-1_family-270	203	2	LINE
rnd-1_family-244	86	2	LINE/L1
rnd-1_family-241	104	2	LINE/L1
DR0187760	224	2	LINE
DF0001328	1461	2	LINE/CR1
DF0001327	3277	2	LINE/CR1
rnd-1_family-296	77	1	LINE/L1
rnd-1_family-209	127	1	LINE/L1
rnd-1_family-202	62	1	LINE/L1
DF0001334	1235	1	LINE/L2
