ID	Length	Number	Class
rnd-1_family-318	51	1382	SINE/5S
rnd-4_family-371	966	1351	SINE/tRNA
rnd-1_family-73	96	1326	SINE/tRNA
rnd-1_family-98	112	1282	SINE/B2
rnd-1_family-246	85	1236	SINE/tRNA
rnd-1_family-193	257	1095	SINE/tRNA
rnd-6_family-1576	3280	1039	SINE/tRNA
rnd-1_family-19	156	1037	SINE/tRNA
DR0187905	241	1035	SINE/MIR
DR0188069	225	1033	SINE/MIR
DF0001253	230	943	SINE/MIR
rnd-6_family-4988	1289	829	SINE/tRNA
DR0187823	326	825	SINE/MIR
DR0187928	270	794	SINE/MIR
rnd-6_family-3414	875	793	SINE/tRNA
rnd-6_family-336	1042	740	SINE/ID
rnd-1_family-115	98	735	SINE/tRNA
DR0187987	226	724	SINE/MIR
DR0188075	315	706	SINE/MIR
rnd-1_family-165	97	705	SINE/tRNA
rnd-6_family-1711	3610	697	SINE/tRNA
rnd-6_family-2301	1836	672	SINE/tRNA
rnd-6_family-5291	2548	650	SINE/tRNA
rnd-1_family-136	87	643	SINE/tRNA
rnd-6_family-3979	3193	617	SINE/tRNA
rnd-6_family-1575	3742	595	SINE/tRNA
rnd-5_family-67	174	593	SINE/MIR
rnd-6_family-2299	9287	581	SINE/tRNA
rnd-1_family-104	107	574	SINE/B2
rnd-1_family-204	123	502	SINE/tRNA
rnd-1_family-100	54	491	SINE/tRNA
rnd-1_family-70	91	489	SINE/tRNA
rnd-5_family-114	194	478	SINE/MIR
DR0187971	277	476	SINE/MIR
rnd-5_family-259	63	473	SINE
rnd-1_family-25	120	458	SINE/tRNA
rnd-1_family-271	119	457	SINE/tRNA
rnd-6_family-2305	2494	452	SINE/tRNA
rnd-1_family-18	176	445	SINE/tRNA
rnd-1_family-26	205	418	SINE/tRNA
rnd-6_family-2310	585	365	SINE/tRNA
rnd-1_family-39	268	365	SINE/tRNA
rnd-1_family-90	55	357	SINE/tRNA
rnd-5_family-1653	293	330	SINE/MIR
rnd-6_family-4276	1395	321	SINE/tRNA
rnd-1_family-28	122	300	SINE/tRNA
rnd-1_family-360	67	291	SINE/tRNA
rnd-1_family-89	60	263	SINE/tRNA
rnd-5_family-634	204	249	SINE/MIR
DF0000067	575	225	SINE/5S-Deu-L2
rnd-1_family-37	81	223	SINE/tRNA
rnd-1_family-145	90	215	SINE/tRNA
rnd-6_family-1413	1010	212	SINE/tRNA
DR0188099	461	192	SINE/MIR
DR0187927	236	192	SINE/MIR
rnd-1_family-114	56	179	SINE/tRNA
rnd-6_family-5607	1319	178	SINE/tRNA
DF0000996	290	174	SINE/tRNA-RTE
rnd-6_family-5311	592	173	SINE/tRNA
rnd-1_family-220	63	162	SINE/tRNA
DF0000016	320	161	SINE/Alu
rnd-1_family-33	99	160	SINE/tRNA
DF0000368	459	157	SINE/tRNA
DR0187830	279	151	SINE
rnd-1_family-34	108	146	SINE/tRNA
rnd-6_family-3558	649	129	SINE/tRNA
rnd-1_family-79	85	125	SINE/tRNA
DR0188050	196	123	SINE
rnd-1_family-96	66	119	SINE/tRNA
rnd-1_family-329	69	101	SINE/tRNA
rnd-1_family-75	74	99	SINE/tRNA
rnd-1_family-64	65	93	SINE/tRNA
rnd-1_family-61	105	83	SINE/tRNA
rnd-1_family-23	130	83	SINE/tRNA
rnd-6_family-2456	215	72	SINE/Alu
rnd-1_family-80	85	70	SINE/tRNA
rnd-1_family-29	118	68	SINE/tRNA
rnd-1_family-149	75	67	SINE/tRNA
rnd-1_family-91	51	56	SINE/tRNA
rnd-1_family-35	95	51	SINE/tRNA
DF0000068	358	46	SINE/tRNA-Deu
rnd-1_family-111	68	44	SINE/tRNA
rnd-1_family-92	57	42	SINE/tRNA
rnd-1_family-40	71	35	SINE/tRNA
rnd-1_family-103	64	29	SINE/tRNA
rnd-1_family-107	54	22	SINE/tRNA
rnd-1_family-82	84	21	SINE/tRNA
rnd-1_family-44	64	17	SINE/tRNA
rnd-1_family-337	208	17	SINE
rnd-1_family-322	123	11	SINE
rnd-1_family-153	48	10	SINE/tRNA
DR0187873	212	10	SINE
rnd-1_family-49	53	9	SINE/tRNA
rnd-1_family-54	53	8	SINE/tRNA
rnd-1_family-47	53	8	SINE/tRNA
DF0001091	261	7	SINE
rnd-1_family-324	77	6	SINE/5S
rnd-1_family-46	52	5	SINE/tRNA
rnd-1_family-41	192	4	SINE/tRNA
rnd-1_family-22	178	4	SINE/tRNA
rnd-1_family-48	79	3	SINE/tRNA
DR0187926	228	3	SINE/B4
rnd-1_family-36	104	2	SINE/tRNA
DR0187961	222	2	SINE
rnd-1_family-55	57	1	SINE/tRNA
rnd-1_family-52	53	1	SINE/tRNA
DR0187940	194	1	SINE
